Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo
De 16 a 19 años;Hombres;Andalucía;202201
De 16 a 19 años;Hombres;Andalucía;202202
De 16 a 19 años;Hombres;Andalucía;202203
De 16 a 19 años;Hombres;Andalucía;202204
De 16 a 19 años;Hombres;Andalucía;202301
De 16 a 19 años;Hombres;Andalucía;202302
De 16 a 19 años;Hombres;Andalucía;202303
De 16 a 19 años;Hombres;Andalucía;202304
De 16 a 19 años;Mujeres;Andalucía;202201
De 16 a 19 años;Mujeres;Andalucía;202202
De 16 a 19 años;Mujeres;Andalucía;202203
De 16 a 19 años;Mujeres;Andalucía;202204
De 16 a 19 años;Mujeres;Andalucía;202301
De 16 a 19 años;Mujeres;Andalucía;202302
De 16 a 19 años;Mujeres;Andalucía;202303
De 16 a 19 años;Mujeres;Andalucía;202304
De 20 a 24 años;Hombres;Andalucía;202201
De 20 a 24 años;Hombres;Andalucía;202202
De 20 a 24 años;Hombres;Andalucía;202203
De 20 a 24 años;Hombres;Andalucía;202204
De 20 a 24 años;Hombres;Andalucía;202301
De 20 a 24 años;Hombres;Andalucía;202302
De 20 a 24 años;Hombres;Andalucía;202303
De 20 a 24 años;Hombres;Andalucía;202304
De 20 a 24 años;Mujeres;Andalucía;202201
De 20 a 24 años;Mujeres;Andalucía;202202
De 20 a 24 años;Mujeres;Andalucía;202203
De 20 a 24 años;Mujeres;Andalucía;202204
De 20 a 24 años;Mujeres;Andalucía;202301
De 20 a 24 años;Mujeres;Andalucía;202302
De 20 a 24 años;Mujeres;Andalucía;202303
De 20 a 24 años;Mujeres;Andalucía;202304
De 25 a 34 años;Hombres;Andalucía;202201
De 25 a 34 años;Hombres;Andalucía;202202
De 25 a 34 años;Hombres;Andalucía;202203
De 25 a 34 años;Hombres;Andalucía;202204
De 25 a 34 años;Hombres;Andalucía;202301
De 25 a 34 años;Hombres;Andalucía;202302
De 25 a 34 años;Hombres;Andalucía;202303
De 25 a 34 años;Hombres;Andalucía;202304
De 25 a 34 años;Mujeres;Andalucía;202201
De 25 a 34 años;Mujeres;Andalucía;202202
De 25 a 34 años;Mujeres;Andalucía;202203
De 25 a 34 años;Mujeres;Andalucía;202204
De 25 a 34 años;Mujeres;Andalucía;202301
De 25 a 34 años;Mujeres;Andalucía;202302
De 25 a 34 años;Mujeres;Andalucía;202303
De 25 a 34 años;Mujeres;Andalucía;202304
De 35 a 44 años;Hombres;Andalucía;202201
De 35 a 44 años;Hombres;Andalucía;202202
De 35 a 44 años;Hombres;Andalucía;202203
De 35 a 44 años;Hombres;Andalucía;202204
De 35 a 44 años;Hombres;Andalucía;202301
De 35 a 44 años;Hombres;Andalucía;202302
De 35 a 44 años;Hombres;Andalucía;202303
De 35 a 44 años;Hombres;Andalucía;202304
De 35 a 44 años;Mujeres;Andalucía;202201
De 35 a 44 años;Mujeres;Andalucía;202202
De 35 a 44 años;Mujeres;Andalucía;202203
De 35 a 44 años;Mujeres;Andalucía;202204
De 35 a 44 años;Mujeres;Andalucía;202301
De 35 a 44 años;Mujeres;Andalucía;202302
De 35 a 44 años;Mujeres;Andalucía;202303
De 35 a 44 años;Mujeres;Andalucía;202304
De 45 a 54 años;Hombres;Andalucía;202201
De 45 a 54 años;Hombres;Andalucía;202202
De 45 a 54 años;Hombres;Andalucía;202203
De 45 a 54 años;Hombres;Andalucía;202204
De 45 a 54 años;Hombres;Andalucía;202301
De 45 a 54 años;Hombres;Andalucía;202302
De 45 a 54 años;Hombres;Andalucía;202303
De 45 a 54 años;Hombres;Andalucía;202304
De 45 a 54 años;Mujeres;Andalucía;202201
De 45 a 54 años;Mujeres;Andalucía;202202
De 45 a 54 años;Mujeres;Andalucía;202203
De 45 a 54 años;Mujeres;Andalucía;202204
De 45 a 54 años;Mujeres;Andalucía;202301
De 45 a 54 años;Mujeres;Andalucía;202302
De 45 a 54 años;Mujeres;Andalucía;202303
De 45 a 54 años;Mujeres;Andalucía;202304
55 y más años;Hombres;Andalucía;202201
55 y más años;Hombres;Andalucía;202202
55 y más años;Hombres;Andalucía;202203
55 y más años;Hombres;Andalucía;202204
55 y más años;Hombres;Andalucía;202301
55 y más años;Hombres;Andalucía;202302
55 y más años;Hombres;Andalucía;202303
55 y más años;Hombres;Andalucía;202304
55 y más años;Mujeres;Andalucía;202201
55 y más años;Mujeres;Andalucía;202202
55 y más años;Mujeres;Andalucía;202203
55 y más años;Mujeres;Andalucía;202204
55 y más años;Mujeres;Andalucía;202301
55 y más años;Mujeres;Andalucía;202302
55 y más años;Mujeres;Andalucía;202303
55 y más años;Mujeres;Andalucía;202304
De 16 a 19 años;Hombres;Aragón;202201
De 16 a 19 años;Hombres;Aragón;202202
De 16 a 19 años;Hombres;Aragón;202203
De 16 a 19 años;Hombres;Aragón;202204
De 16 a 19 años;Hombres;Aragón;202301
De 16 a 19 años;Hombres;Aragón;202302
De 16 a 19 años;Hombres;Aragón;202303
De 16 a 19 años;Hombres;Aragón;202304
De 16 a 19 años;Mujeres;Aragón;202201
De 16 a 19 años;Mujeres;Aragón;202202
De 16 a 19 años;Mujeres;Aragón;202203
De 16 a 19 años;Mujeres;Aragón;202204
De 16 a 19 años;Mujeres;Aragón;202301
De 16 a 19 años;Mujeres;Aragón;202302
De 16 a 19 años;Mujeres;Aragón;202303
De 16 a 19 años;Mujeres;Aragón;202304
De 20 a 24 años;Hombres;Aragón;202201
De 20 a 24 años;Hombres;Aragón;202202
De 20 a 24 años;Hombres;Aragón;202203
De 20 a 24 años;Hombres;Aragón;202204
De 20 a 24 años;Hombres;Aragón;202301
De 20 a 24 años;Hombres;Aragón;202302
De 20 a 24 años;Hombres;Aragón;202303
De 20 a 24 años;Hombres;Aragón;202304
De 20 a 24 años;Mujeres;Aragón;202201
De 20 a 24 años;Mujeres;Aragón;202202
De 20 a 24 años;Mujeres;Aragón;202203
De 20 a 24 años;Mujeres;Aragón;202204
De 20 a 24 años;Mujeres;Aragón;202301
De 20 a 24 años;Mujeres;Aragón;202302
De 20 a 24 años;Mujeres;Aragón;202303
De 20 a 24 años;Mujeres;Aragón;202304
De 25 a 34 años;Hombres;Aragón;202201
De 25 a 34 años;Hombres;Aragón;202202
De 25 a 34 años;Hombres;Aragón;202203
De 25 a 34 años;Hombres;Aragón;202204
De 25 a 34 años;Hombres;Aragón;202301
De 25 a 34 años;Hombres;Aragón;202302
De 25 a 34 años;Hombres;Aragón;202303
De 25 a 34 años;Hombres;Aragón;202304
De 25 a 34 años;Mujeres;Aragón;202201
De 25 a 34 años;Mujeres;Aragón;202202
De 25 a 34 años;Mujeres;Aragón;202203
De 25 a 34 años;Mujeres;Aragón;202204
De 25 a 34 años;Mujeres;Aragón;202301
De 25 a 34 años;Mujeres;Aragón;202302
De 25 a 34 años;Mujeres;Aragón;202303
De 25 a 34 años;Mujeres;Aragón;202304
De 35 a 44 años;Hombres;Aragón;202201
De 35 a 44 años;Hombres;Aragón;202202
De 35 a 44 años;Hombres;Aragón;202203
De 35 a 44 años;Hombres;Aragón;202204
De 35 a 44 años;Hombres;Aragón;202301
De 35 a 44 años;Hombres;Aragón;202302
De 35 a 44 años;Hombres;Aragón;202303
De 35 a 44 años;Hombres;Aragón;202304
De 35 a 44 años;Mujeres;Aragón;202201
De 35 a 44 años;Mujeres;Aragón;202202
De 35 a 44 años;Mujeres;Aragón;202203
De 35 a 44 años;Mujeres;Aragón;202204
De 35 a 44 años;Mujeres;Aragón;202301
De 35 a 44 años;Mujeres;Aragón;202302
De 35 a 44 años;Mujeres;Aragón;202303
De 35 a 44 años;Mujeres;Aragón;202304
De 45 a 54 años;Hombres;Aragón;202201
De 45 a 54 años;Hombres;Aragón;202202
De 45 a 54 años;Hombres;Aragón;202203
De 45 a 54 años;Hombres;Aragón;202204
De 45 a 54 años;Hombres;Aragón;202301
De 45 a 54 años;Hombres;Aragón;202302
De 45 a 54 años;Hombres;Aragón;202303
De 45 a 54 años;Hombres;Aragón;202304
De 45 a 54 años;Mujeres;Aragón;202201
De 45 a 54 años;Mujeres;Aragón;202202
De 45 a 54 años;Mujeres;Aragón;202203
De 45 a 54 años;Mujeres;Aragón;202204
De 45 a 54 años;Mujeres;Aragón;202301
De 45 a 54 años;Mujeres;Aragón;202302
De 45 a 54 años;Mujeres;Aragón;202303
De 45 a 54 años;Mujeres;Aragón;202304
55 y más años;Hombres;Aragón;202201
55 y más años;Hombres;Aragón;202202
55 y más años;Hombres;Aragón;202203
55 y más años;Hombres;Aragón;202204
55 y más años;Hombres;Aragón;202301
55 y más años;Hombres;Aragón;202302
55 y más años;Hombres;Aragón;202303
55 y más años;Hombres;Aragón;202304
55 y más años;Mujeres;Aragón;202201
55 y más años;Mujeres;Aragón;202202
55 y más años;Mujeres;Aragón;202203
55 y más años;Mujeres;Aragón;202204
55 y más años;Mujeres;Aragón;202301
55 y más años;Mujeres;Aragón;202302
55 y más años;Mujeres;Aragón;202303
55 y más años;Mujeres;Aragón;202304
De 16 a 19 años;Hombres;Asturias, Principado de;202201
De 16 a 19 años;Hombres;Asturias, Principado de;202202
De 16 a 19 años;Hombres;Asturias, Principado de;202203
De 16 a 19 años;Hombres;Asturias, Principado de;202204
De 16 a 19 años;Hombres;Asturias, Principado de;202301
De 16 a 19 años;Hombres;Asturias, Principado de;202302
De 16 a 19 años;Hombres;Asturias, Principado de;202303
De 16 a 19 años;Hombres;Asturias, Principado de;202304
De 16 a 19 años;Mujeres;Asturias, Principado de;202201
De 16 a 19 años;Mujeres;Asturias, Principado de;202202
De 16 a 19 años;Mujeres;Asturias, Principado de;202203
De 16 a 19 años;Mujeres;Asturias, Principado de;202204
De 16 a 19 años;Mujeres;Asturias, Principado de;202301
De 16 a 19 años;Mujeres;Asturias, Principado de;202302
De 16 a 19 años;Mujeres;Asturias, Principado de;202303
De 16 a 19 años;Mujeres;Asturias, Principado de;202304
De 20 a 24 años;Hombres;Asturias, Principado de;202201
De 20 a 24 años;Hombres;Asturias, Principado de;202202
De 20 a 24 años;Hombres;Asturias, Principado de;202203
De 20 a 24 años;Hombres;Asturias, Principado de;202204
De 20 a 24 años;Hombres;Asturias, Principado de;202301
De 20 a 24 años;Hombres;Asturias, Principado de;202302
De 20 a 24 años;Hombres;Asturias, Principado de;202303
De 20 a 24 años;Hombres;Asturias, Principado de;202304
De 20 a 24 años;Mujeres;Asturias, Principado de;202201
De 20 a 24 años;Mujeres;Asturias, Principado de;202202
De 20 a 24 años;Mujeres;Asturias, Principado de;202203
De 20 a 24 años;Mujeres;Asturias, Principado de;202204
De 20 a 24 años;Mujeres;Asturias, Principado de;202301
De 20 a 24 años;Mujeres;Asturias, Principado de;202302
De 20 a 24 años;Mujeres;Asturias, Principado de;202303
De 20 a 24 años;Mujeres;Asturias, Principado de;202304
De 25 a 34 años;Hombres;Asturias, Principado de;202201
De 25 a 34 años;Hombres;Asturias, Principado de;202202
De 25 a 34 años;Hombres;Asturias, Principado de;202203
De 25 a 34 años;Hombres;Asturias, Principado de;202204
De 25 a 34 años;Hombres;Asturias, Principado de;202301
De 25 a 34 años;Hombres;Asturias, Principado de;202302
De 25 a 34 años;Hombres;Asturias, Principado de;202303
De 25 a 34 años;Hombres;Asturias, Principado de;202304
De 25 a 34 años;Mujeres;Asturias, Principado de;202201
De 25 a 34 años;Mujeres;Asturias, Principado de;202202
De 25 a 34 años;Mujeres;Asturias, Principado de;202203
De 25 a 34 años;Mujeres;Asturias, Principado de;202204
De 25 a 34 años;Mujeres;Asturias, Principado de;202301
De 25 a 34 años;Mujeres;Asturias, Principado de;202302
De 25 a 34 años;Mujeres;Asturias, Principado de;202303
De 25 a 34 años;Mujeres;Asturias, Principado de;202304
De 35 a 44 años;Hombres;Asturias, Principado de;202201
De 35 a 44 años;Hombres;Asturias, Principado de;202202
De 35 a 44 años;Hombres;Asturias, Principado de;202203
De 35 a 44 años;Hombres;Asturias, Principado de;202204
De 35 a 44 años;Hombres;Asturias, Principado de;202301
De 35 a 44 años;Hombres;Asturias, Principado de;202302
De 35 a 44 años;Hombres;Asturias, Principado de;202303
De 35 a 44 años;Hombres;Asturias, Principado de;202304
De 35 a 44 años;Mujeres;Asturias, Principado de;202201
De 35 a 44 años;Mujeres;Asturias, Principado de;202202
De 35 a 44 años;Mujeres;Asturias, Principado de;202203
De 35 a 44 años;Mujeres;Asturias, Principado de;202204
De 35 a 44 años;Mujeres;Asturias, Principado de;202301
De 35 a 44 años;Mujeres;Asturias, Principado de;202302
De 35 a 44 años;Mujeres;Asturias, Principado de;202303
De 35 a 44 años;Mujeres;Asturias, Principado de;202304
De 45 a 54 años;Hombres;Asturias, Principado de;202201
De 45 a 54 años;Hombres;Asturias, Principado de;202202
De 45 a 54 años;Hombres;Asturias, Principado de;202203
De 45 a 54 años;Hombres;Asturias, Principado de;202204
De 45 a 54 años;Hombres;Asturias, Principado de;202301
De 45 a 54 años;Hombres;Asturias, Principado de;202302
De 45 a 54 años;Hombres;Asturias, Principado de;202303
De 45 a 54 años;Hombres;Asturias, Principado de;202304
De 45 a 54 años;Mujeres;Asturias, Principado de;202201
De 45 a 54 años;Mujeres;Asturias, Principado de;202202
De 45 a 54 años;Mujeres;Asturias, Principado de;202203
De 45 a 54 años;Mujeres;Asturias, Principado de;202204
De 45 a 54 años;Mujeres;Asturias, Principado de;202301
De 45 a 54 años;Mujeres;Asturias, Principado de;202302
De 45 a 54 años;Mujeres;Asturias, Principado de;202303
De 45 a 54 años;Mujeres;Asturias, Principado de;202304
55 y más años;Hombres;Asturias, Principado de;202201
55 y más años;Hombres;Asturias, Principado de;202202
55 y más años;Hombres;Asturias, Principado de;202203
55 y más años;Hombres;Asturias, Principado de;202204
55 y más años;Hombres;Asturias, Principado de;202301
55 y más años;Hombres;Asturias, Principado de;202302
55 y más años;Hombres;Asturias, Principado de;202303
55 y más años;Hombres;Asturias, Principado de;202304
55 y más años;Mujeres;Asturias, Principado de;202201
55 y más años;Mujeres;Asturias, Principado de;202202
55 y más años;Mujeres;Asturias, Principado de;202203
55 y más años;Mujeres;Asturias, Principado de;202204
55 y más años;Mujeres;Asturias, Principado de;202301
55 y más años;Mujeres;Asturias, Principado de;202302
55 y más años;Mujeres;Asturias, Principado de;202303
55 y más años;Mujeres;Asturias, Principado de;202304
De 16 a 19 años;Hombres;Canarias;202201
De 16 a 19 años;Hombres;Canarias;202202
De 16 a 19 años;Hombres;Canarias;202203
De 16 a 19 años;Hombres;Canarias;202204
De 16 a 19 años;Hombres;Canarias;202301
De 16 a 19 años;Hombres;Canarias;202302
De 16 a 19 años;Hombres;Canarias;202303
De 16 a 19 años;Hombres;Canarias;202304
De 16 a 19 años;Mujeres;Canarias;202201
De 16 a 19 años;Mujeres;Canarias;202202
De 16 a 19 años;Mujeres;Canarias;202203
De 16 a 19 años;Mujeres;Canarias;202204
De 16 a 19 años;Mujeres;Canarias;202301
De 16 a 19 años;Mujeres;Canarias;202302
De 16 a 19 años;Mujeres;Canarias;202303
De 16 a 19 años;Mujeres;Canarias;202304
De 20 a 24 años;Hombres;Canarias;202201
De 20 a 24 años;Hombres;Canarias;202202
De 20 a 24 años;Hombres;Canarias;202203
De 20 a 24 años;Hombres;Canarias;202204
De 20 a 24 años;Hombres;Canarias;202301
De 20 a 24 años;Hombres;Canarias;202302
De 20 a 24 años;Hombres;Canarias;202303
De 20 a 24 años;Hombres;Canarias;202304
De 20 a 24 años;Mujeres;Canarias;202201
De 20 a 24 años;Mujeres;Canarias;202202
De 20 a 24 años;Mujeres;Canarias;202203
De 20 a 24 años;Mujeres;Canarias;202204
De 20 a 24 años;Mujeres;Canarias;202301
De 20 a 24 años;Mujeres;Canarias;202302
De 20 a 24 años;Mujeres;Canarias;202303
De 20 a 24 años;Mujeres;Canarias;202304
De 25 a 34 años;Hombres;Canarias;202201
De 25 a 34 años;Hombres;Canarias;202202
De 25 a 34 años;Hombres;Canarias;202203
De 25 a 34 años;Hombres;Canarias;202204
De 25 a 34 años;Hombres;Canarias;202301
De 25 a 34 años;Hombres;Canarias;202302
De 25 a 34 años;Hombres;Canarias;202303
De 25 a 34 años;Hombres;Canarias;202304
De 25 a 34 años;Mujeres;Canarias;202201
De 25 a 34 años;Mujeres;Canarias;202202
De 25 a 34 años;Mujeres;Canarias;202203
De 25 a 34 años;Mujeres;Canarias;202204
De 25 a 34 años;Mujeres;Canarias;202301
De 25 a 34 años;Mujeres;Canarias;202302
De 25 a 34 años;Mujeres;Canarias;202303
De 25 a 34 años;Mujeres;Canarias;202304
De 35 a 44 años;Hombres;Canarias;202201
De 35 a 44 años;Hombres;Canarias;202202
De 35 a 44 años;Hombres;Canarias;202203
De 35 a 44 años;Hombres;Canarias;202204
De 35 a 44 años;Hombres;Canarias;202301
De 35 a 44 años;Hombres;Canarias;202302
De 35 a 44 años;Hombres;Canarias;202303
De 35 a 44 años;Hombres;Canarias;202304
De 35 a 44 años;Mujeres;Canarias;202201
De 35 a 44 años;Mujeres;Canarias;202202
De 35 a 44 años;Mujeres;Canarias;202203
De 35 a 44 años;Mujeres;Canarias;202204
De 35 a 44 años;Mujeres;Canarias;202301
De 35 a 44 años;Mujeres;Canarias;202302
De 35 a 44 años;Mujeres;Canarias;202303
De 35 a 44 años;Mujeres;Canarias;202304
De 45 a 54 años;Hombres;Canarias;202201
De 45 a 54 años;Hombres;Canarias;202202
De 45 a 54 años;Hombres;Canarias;202203
De 45 a 54 años;Hombres;Canarias;202204
De 45 a 54 años;Hombres;Canarias;202301
De 45 a 54 años;Hombres;Canarias;202302
De 45 a 54 años;Hombres;Canarias;202303
De 45 a 54 años;Hombres;Canarias;202304
De 45 a 54 años;Mujeres;Canarias;202201
De 45 a 54 años;Mujeres;Canarias;202202
De 45 a 54 años;Mujeres;Canarias;202203
De 45 a 54 años;Mujeres;Canarias;202204
De 45 a 54 años;Mujeres;Canarias;202301
De 45 a 54 años;Mujeres;Canarias;202302
De 45 a 54 años;Mujeres;Canarias;202303
De 45 a 54 años;Mujeres;Canarias;202304
55 y más años;Hombres;Canarias;202201
55 y más años;Hombres;Canarias;202202
55 y más años;Hombres;Canarias;202203
55 y más años;Hombres;Canarias;202204
55 y más años;Hombres;Canarias;202301
55 y más años;Hombres;Canarias;202302
55 y más años;Hombres;Canarias;202303
55 y más años;Hombres;Canarias;202304
55 y más años;Mujeres;Canarias;202201
55 y más años;Mujeres;Canarias;202202
55 y más años;Mujeres;Canarias;202203
55 y más años;Mujeres;Canarias;202204
55 y más años;Mujeres;Canarias;202301
55 y más años;Mujeres;Canarias;202302
55 y más años;Mujeres;Canarias;202303
55 y más años;Mujeres;Canarias;202304
De 16 a 19 años;Hombres;Cantabria;202201
De 16 a 19 años;Hombres;Cantabria;202202
De 16 a 19 años;Hombres;Cantabria;202203
De 16 a 19 años;Hombres;Cantabria;202204
De 16 a 19 años;Hombres;Cantabria;202301
De 16 a 19 años;Hombres;Cantabria;202302
De 16 a 19 años;Hombres;Cantabria;202303
De 16 a 19 años;Hombres;Cantabria;202304
De 16 a 19 años;Mujeres;Cantabria;202201
De 16 a 19 años;Mujeres;Cantabria;202202
De 16 a 19 años;Mujeres;Cantabria;202203
De 16 a 19 años;Mujeres;Cantabria;202204
De 16 a 19 años;Mujeres;Cantabria;202301
De 16 a 19 años;Mujeres;Cantabria;202302
De 16 a 19 años;Mujeres;Cantabria;202303
De 16 a 19 años;Mujeres;Cantabria;202304
De 20 a 24 años;Hombres;Cantabria;202201
De 20 a 24 años;Hombres;Cantabria;202202
De 20 a 24 años;Hombres;Cantabria;202203
De 20 a 24 años;Hombres;Cantabria;202204
De 20 a 24 años;Hombres;Cantabria;202301
De 20 a 24 años;Hombres;Cantabria;202302
De 20 a 24 años;Hombres;Cantabria;202303
De 20 a 24 años;Hombres;Cantabria;202304
De 20 a 24 años;Mujeres;Cantabria;202201
De 20 a 24 años;Mujeres;Cantabria;202202
De 20 a 24 años;Mujeres;Cantabria;202203
De 20 a 24 años;Mujeres;Cantabria;202204
De 20 a 24 años;Mujeres;Cantabria;202301
De 20 a 24 años;Mujeres;Cantabria;202302
De 20 a 24 años;Mujeres;Cantabria;202303
De 20 a 24 años;Mujeres;Cantabria;202304
De 25 a 34 años;Hombres;Cantabria;202201
De 25 a 34 años;Hombres;Cantabria;202202
De 25 a 34 años;Hombres;Cantabria;202203
De 25 a 34 años;Hombres;Cantabria;202204
De 25 a 34 años;Hombres;Cantabria;202301
De 25 a 34 años;Hombres;Cantabria;202302
De 25 a 34 años;Hombres;Cantabria;202303
De 25 a 34 años;Hombres;Cantabria;202304
De 25 a 34 años;Mujeres;Cantabria;202201
De 25 a 34 años;Mujeres;Cantabria;202202
De 25 a 34 años;Mujeres;Cantabria;202203
De 25 a 34 años;Mujeres;Cantabria;202204
De 25 a 34 años;Mujeres;Cantabria;202301
De 25 a 34 años;Mujeres;Cantabria;202302
De 25 a 34 años;Mujeres;Cantabria;202303
De 25 a 34 años;Mujeres;Cantabria;202304
De 35 a 44 años;Hombres;Cantabria;202201
De 35 a 44 años;Hombres;Cantabria;202202
De 35 a 44 años;Hombres;Cantabria;202203
De 35 a 44 años;Hombres;Cantabria;202204
De 35 a 44 años;Hombres;Cantabria;202301
De 35 a 44 años;Hombres;Cantabria;202302
De 35 a 44 años;Hombres;Cantabria;202303
De 35 a 44 años;Hombres;Cantabria;202304
De 35 a 44 años;Mujeres;Cantabria;202201
De 35 a 44 años;Mujeres;Cantabria;202202
De 35 a 44 años;Mujeres;Cantabria;202203
De 35 a 44 años;Mujeres;Cantabria;202204
De 35 a 44 años;Mujeres;Cantabria;202301
De 35 a 44 años;Mujeres;Cantabria;202302
De 35 a 44 años;Mujeres;Cantabria;202303
De 35 a 44 años;Mujeres;Cantabria;202304
De 45 a 54 años;Hombres;Cantabria;202201
De 45 a 54 años;Hombres;Cantabria;202202
De 45 a 54 años;Hombres;Cantabria;202203
De 45 a 54 años;Hombres;Cantabria;202204
De 45 a 54 años;Hombres;Cantabria;202301
De 45 a 54 años;Hombres;Cantabria;202302
De 45 a 54 años;Hombres;Cantabria;202303
De 45 a 54 años;Hombres;Cantabria;202304
De 45 a 54 años;Mujeres;Cantabria;202201
De 45 a 54 años;Mujeres;Cantabria;202202
De 45 a 54 años;Mujeres;Cantabria;202203
De 45 a 54 años;Mujeres;Cantabria;202204
De 45 a 54 años;Mujeres;Cantabria;202301
De 45 a 54 años;Mujeres;Cantabria;202302
De 45 a 54 años;Mujeres;Cantabria;202303
De 45 a 54 años;Mujeres;Cantabria;202304
55 y más años;Hombres;Cantabria;202201
55 y más años;Hombres;Cantabria;202202
55 y más años;Hombres;Cantabria;202203
55 y más años;Hombres;Cantabria;202204
55 y más años;Hombres;Cantabria;202301
55 y más años;Hombres;Cantabria;202302
55 y más años;Hombres;Cantabria;202303
55 y más años;Hombres;Cantabria;202304
